Konsole,Spiel,Datum,Spielzeit,Erstes Mal,Sound,Grafik,Controls,Schwierigkeit,Spaß,Chat,Dennsen,Gesamt,Video Link,Genre
NES,Bubble Bobble,26.03.2026,0h11m,NEIN,7,4,6,6,5,"6,21","5,33","5,49",https://www.youtube.com/live/bbLP8pRoMHA?si=CW2RYwkQeihV-jXS&t=18083,Action
NES,Donkey Kong,26.03.2026,0h11m,NEIN,5,4,8,2,4,"5,82","4,67","4,88",https://www.youtube.com/live/bbLP8pRoMHA?si=cRnhRbzL5baLr5sL&t=19158,Jump & Run
NES,Mega Man 5,26.03.2026,0h40m,NEIN,10,9,10,5,10,"8,66","9,78","9,57",https://www.youtube.com/live/bbLP8pRoMHA?si=W3ZIyJk-IpfwIwlj&t=20218,Action
NES,R.C. Pro-Am,30.03.2026,0h04m,JA,1,3,7,5,3,"3,32","3,00","3,06",https://www.youtube.com/live/3H_HC7R0NcU?si=8LPs4I4ZSDmBBgC8&t=17227,Action
NES,Battletoads,30.03.2026,0h11m,JA,6,9,8,8,3,"5,12","5,56","5,48",https://www.youtube.com/live/3H_HC7R0NcU?si=f7z_gx2rmvw3meIH&t=17790,Prügelspiel
NES,Mach Rider,30.03.2026,0h06m,JA,2,4,2,8,1,"2,53","2,00","2,10",https://www.youtube.com/live/3H_HC7R0NcU?si=9Adly35F0USWI8Ql&t=18844,Rennspiel
NES,Noah’s Ark,05.04.2026,0h43m,JA,5,8,4,6,6,"5,58","6,00","5,92",https://www.youtube.com/live/Dt889zor-aw?si=Ul-4RbsCH3JmkUAR&t=21646,Action
NES,"Teenage Mutant Hero Turtles II
The Arcade Game 
",06.04.2026,1h21m,JA,6,8,8,4,7,"6,46","7,11","6,99",https://www.youtube.com/live/Xze4qX6pvJk?si=kb1wL2pBi7Nuxyqv,Prügelspiel
NES,Journey to Silius,10.04.2026,0h50m,JA,9,8,2,8,7,"6,70","7,11","7,04",,Action
NES,Metal Gear,10.04.2026,0h20m,NEIN,5,4,6,8,5,"4,04","4,89","4,73",https://www.youtube.com/live/I1KkqcJJ12U?si=5IvQaRSyY0UB8P-F&t=14235,Adventure
NES,Werewolf: The Last Warrior,13.04.2026,0h22m,JA,7,7,8,7,7,"4,58","7,11","6,65",https://www.youtube.com/live/j0Of6Yzz2g8?si=eVyniS9aA6eNINRq&t=7224,Action
NES,Attack of The Killer Tomatoes,03.05.2026,0h35m,JA,3,4,4,3,6,"5,56","4,67","4,83",https://www.youtube.com/live/V8X1qoe1Fxs?si=WX3aHlBRZLpVDpbt&t=20517,Action
NES,Top Gun: The Second Mission,03.05.2026,0h09m,JA,3,5,2,8,2,"2,84","2,89","2,88",https://www.youtube.com/live/V8X1qoe1Fxs?si=r6BNbgAaju2N6wA_&t=23351,Shooter
NES,Monopoly,03.05.2026,0h16m,JA,6,6,6,5,8,"7,05","6,89","6,92",https://www.youtube.com/live/V8X1qoe1Fxs?si=xHeWgjo4kR3DwNl-&t=24344,Strategie
