Konsole,Spiel,Datum,Spielzeit,Erstes Mal,Sound,Grafik,Controls,Schwierigkeit,Spaß,Chat,Dennsen,Gesamt,Video Link,Genre
NES,Punch Out!!,,,,,,,,,,,,,Sport
NES,Puzznic,,,,,,,,,,,,,Puzzle
NES,R.C. Pro-Am 2,,,,,,,,,,,,,Action
NES,Racket Attack,,,,,,,,,,,,,Action
NES,Rackets and Rivals,,,,,,,,,,,,,Action
NES,Rad Racer,,,,,,,,,,,,,Rennspiel
NES,"Rainbow Islands 
The Story of Bubble Bobble 2
",,,,,,,,,,,,,Jump & Run
NES,"Rainbow Islands 2: Parasol Stars
(US: Parasol Stars: The Story of Bubble Bobble III)",,,,,,,,,,,,,Jump & Run
NES,Rampart,,,,,,,,,,,,,Strategie
NES,Road Fighter,,,,,,,,,,,,,Rennspiel
NES,RoadBlaster,,,,,,,,,,,,,Action
NES,Robin Hood - Prince of Thieves,,,,,,,,,,,,,Action
NES,Robocop,,,,,,,,,,,,,Action
NES,Rockin' Kats,,,,,,,,,,,,,Jump & Run
NES,Rollergames,,,,,,,,,,,,,Action
NES,Rush 'n Attack,,,,,,,,,,,,,Action
NES,Rygar,,,,,,,,,,,,,Action
NES,Section Z,,,,,,,,,,,,,Shooter
NES,Shadowgate,,,,,,,,,,,,,Adventure
NES,Shatterhand,,,,,,,,,,,,,Action
NES,Side Pocket,,,,,,,,,,,,,Sport
NES,Silent Service,,,,,,,,,,,,,Strategie
NES,Ski or Die,,,,,,,,,,,,,Sport
NES,Slalom,,,,,,,,,,,,,Rennspiel
NES,Smash T.V.,,,,,,,,,,,,,Shooter
NES,Snake Rattle n’ Roll,,,,,,,,,,,,,Action
NES,Snake's Revenge - Metal Gear II,,,,,,,,,,,,,Adventure
NES,Snow Brothers,,,,,,,,,,,,,Jump & Run
NES,"Snowboard Challenge 
(US: Heavy Shreddin')",,,,,,,,,,,,,Sport
NES,Soccer,,,,,,,,,,,,,Sport
NES,"Solar Jetman
Hunt for the golden Warship",,,,,,,,,,,,,Shooter
NES,Solomon's Key,,,,,,,,,,,,,Action
NES,"Solomon's Key 2 
(US: Fire 'n Ice)",,,,,,,,,,,,,Action
NES,Solstice,,,,,,,,,,,,,Puzzle
NES,"Spider Man
Return of the Sinister Six",,,,,,,,,,,,,Action
NES,Spy Vs. Spy,,,,,,,,,,,,,Action
NES,Stack Up,,,,,,,,,,,,,Puzzle
NES,Stadium Events,,,,,,,,,,,,,Sport
NES,Star Trek - 25nd Anniversary,,,,,,,,,,,,,Action
NES,Star Tropics,,,,,,,,,,,,,Adventure
NES,Star Wars,,,,,,,,,,,,,Action
NES,Stealth ATF,,,,,,,,,,,,,Shooter
NES,Super Mario Bros. 3,,,,,,,,,,,,,Jump & Run
NES,Super Spike V'Ball,,,,,,,,,,,,,Sport
NES,Swamp Thing,,,,,,,,,,,,,Action
NES,Sword Master,,,,,,,,,,,,,Sonstiges
NES,Tale Spin,,,,,,,,,,,,,Jump & Run
NES,"Tecmo Cup: Football Game 
(US: Tecmo Cup: Soccer Game)",,,,,,,,,,,,,Sport
NES,Tecmo World Wrestling,,,,,,,,,,,,,Sport
NES,Teenage Mutant Hero Turtles ,,,,,,,,,,,,,Action
NES,Tennis,,,,,,,,,,,,,Sport
NES,Terminator 2: Judgment Day,,,,,,,,,,,,,Action
NES,Tetris,,,,,,,,,,,,,Puzzle
NES,Tetris 2,,,,,,,,,,,,,Puzzle
NES,The Addams Family,,,,,,,,,,,,,Jump & Run
NES,"The Addams Family
Fester's Quest",,,,,,,,,,,,,Jump & Run
NES,"The Addams Family 
Pugsley's Scavenger Hunt",,,,,,,,,,,,,Jump & Run
NES,Adventure Island II,,,,,,,,,,,,,Jump & Run
NES,The Adventures of Rad Gravity,,,,,,,,,,,,,Action
NES,The Blues Brothers,,,,,,,,,,,,,Jump & Run
NES,"The Bugs Bunny Blowout
(US: The Bugs Bunny Birthday Blowout)",,,,,,,,,,,,,Jump & Run
NES,The Empire Strikes Back,,,,,,,,,,,,,Action
NES,"The Flintstones 
Rescue of Dino and Hoppy",,,,,,,,,,,,,Jump & Run
NES,"The Flintstones 
The Surprise at Dinosaur Peak",,,,,,,,,,,,,Jump & Run
NES,The Guardian Legend,,,,,,,,,,,,,Adventure
NES,The Hunt for Red October,,,,,,,,,,,,,Action
NES,The Incredible Crash Dummies,,,,,,,,,,,,,Action
NES,The Jetsons: Cogswell's Caper,,,,,,,,,,,,,Action
NES,The Legend of Prince Valiant,,,,,,,,,,,,,Action
NES,The Legend of Zelda,,,,,,,,,,,,,Adventure
NES,"The Simpsons 
Bartman meets Radioactiveman",,,,,,,,,,,,,Jump & Run
NES,Time Lord,,,,,,,,,,,,,Action
NES,Tiny Toon Cartoon Workshop,,,,,,,,,,,,,Sonstiges
NES,TMNT - Tournament Fighters,,,,,,,,,,,,,Prügelspiel
NES,To the Earth,,,,,,,,,,,,,Shooter
NES,Tom & Jerry,,,,,,,,,,,,,Jump & Run
NES,Top Gun,,,,,,,,,,,,,Shooter
NES,Totally Rad,,,,,,,,,,,,,Action
NES,Track n' Field II,,,,,,,,,,,,,Sport
NES,"Track n' Field in Barcelona
(US: Track & Field)",,,,,,,,,,,,,Sport
NES,Trog,,,,,,,,,,,,,Action
NES,"Ufouria: The Saga
(JP: Hebereke)",,,,,,,,,,,,,Jump & Run
NES,Ultimate Air Combat,,,,,,,,,,,,,Shooter
NES,Urban Champion,,,,,,,,,,,,,Prügelspiel
NES,Volleyball,,,,,,,,,,,,,Sport
NES,Wario’s Woods,,,,,,,,,,,,,Action
NES,Wild Gunman,,,,,,,,,,,,,Shooter
NES,Willow,,,,,,,,,,,,,Adventure
NES,Wizards and Warriors,,,,,,,,,,,,,Jump & Run
NES,"Wizards and Warriors II
 Iron Sword",,,,,,,,,,,,,Jump & Run
NES,Wizards and Warriors III,,,,,,,,,,,,,Adventure
NES,Wrecking Crew,,,,,,,,,,,,,Action
NES,WWF King of the Ring,,,,,,,,,,,,,Action
NES,WWF Wrestlemania,,,,,,,,,,,,,Action
NES,"WWF Wrestlemania 
Steel Cage Challenge",,,,,,,,,,,,,Action
NES,Xevious,,,,,,,,,,,,,Shooter
NES,Zelda II – The Adventure of Link,,,,,,,,,,,,,RPG
NES,Zen - Intergalactic Ninja,,,,,,,,,,,,,Action
SNES,Wario's Woods,10.03.2026,1h20m,JA,4,5,8,8,7,"5,70","6,00","5,95",https://youtu.be/KRA84uIhK-8,Puzzle
SNES,The Simpsons: Bart's Nightmare,13.03.2026,0h40m,JA,4,7,4,8,5,"3,85","5,11","4,88",https://youtu.be/0ZJw-RwS77Q,Jump & Run
SNES,Lethal Enforcers,13.03.2026,0h18m,JA,3,6,4,3,2,"3,76","3,33","3,41",https://youtu.be/RtMnkDtLY0g,Action
SNES,Euro Football Champ,15.03.2026,0h17m,JA,5,5,2,3,4,"3,35","4,22","4,06",https://youtu.be/_8TyjFBKF_k,Sport
SNES,Super Mario World,23.03.2026,12h10m,NEIN,10,8,10,4,10,"9,37","9,56","9,52",https://youtu.be/6MR14JbfPJU,Jump & Run
SNES,Aladdin,23.03.2026,0h35m,NEIN,8,9,9,2,8,"8,27","8,33","8,32",https://youtu.be/HUrPKMWX0K0,Jump & Run
SNES,"The Legend of Zelda: 
A Link to the Past",27.03.2026,6h45m,NEIN,10,9,9,5,10,"9,65","9,67","9,66",https://youtu.be/ZPsN9dif-b4,Adventure
SNES,Super Punch-Out!!,03.04.2026,4h31m,NEIN,6,7,8,4,9,"7,18","7,78","7,67",https://www.youtube.com/live/HXfPaK201jE?si=-Jzy-jtKpwGmyOmI&t=12446,Sport
SNES,Tetris Attack,05.04.2026,1h18m,NEIN,4,7,7,7,7,"6,52","6,33","6,37",https://www.youtube.com/live/Dt889zor-aw?si=aTvzZhhDm6YGEjvY&t=8585,Puzzle
SNES,Aero Fighters,06.04.2026,2h05m,JA,7,7,6,4,8,"7,26","7,33","7,32",https://www.youtube.com/live/Xze4qX6pvJk?si=Q89G3iK2O3zpZB2f&t=5029,Shooter
SNES,Knights of the Round,06.04.2026,1h08m,NEIN,7,8,4,7,6,"6,55","6,44","6,46",https://www.youtube.com/live/Xze4qX6pvJk?si=sQBW17ebjq_O7hDW&t=16843,Action
SNES,Secret of Evermore,08.04.2026,12h01m,NEIN,6,7,8,7,9,"8,60","7,78","7,93",https://youtu.be/gLo8Y8XbL6M,RPG
SNES,Captain Novolin,13.04.2026,0h45m,JA,3,5,3,4,3,"3,39","3,44","3,43",https://www.youtube.com/live/j0Of6Yzz2g8?si=FANQurgq5o6xKUuP&t=3961,Jump & Run
SNES,Super Mario Kart,14.04.2026,3h44m,NEIN,8,9,10,6,10,"9,00","9,33","9,27",,Rennspiel
SNES,Power Rangers Zeo: Battle Racers,28.04.2026,0h19m,JA,5,7,6,7,6,"4,12","6,00","5,66",https://www.youtube.com/live/SrqIrD_vaR4?si=vKnOD3Erqg-H19Mn&t=6943,Rennspiel
SNES,Biker Mice from Mars,28.04.2026,1h17m,JA,7,8,7,5,7,"6,93","7,22","7,17",https://www.youtube.com/live/SrqIrD_vaR4?si=LYxUB0Hu5tfibKVA&t=8842,Rennspiel
SNES,Pocky & Rocky,05.05.2026,4h40m,NEIN,7,9,8,7,8,"8,00","8,00","8,00",https://www.youtube.com/live/CLF2jeSEzwQ?si=1i4N2b72UWQ4X1eV&t=1758,Action
SNES,Starwing,07.05.2026,0h36m,NEIN,7,5,9,4,8,"7,52","7,22","7,28",https://www.youtube.com/live/ZxFCTdLJi2c?si=KZVTkdQaylla_hML&t=21421,Action
SNES,Asterix & Obelix,07.05.2026,0h32m,NEIN,7,8,3,8,4,"5,95","5,44","5,54",https://www.youtube.com/live/ZxFCTdLJi2c?si=8ljWslFoM7WYu406&t=24862,Jump & Run
SNES,Asterix,07.05.2026,0h40m,JA,4,3,5,5,4,"5,31","3,89","4,15",https://www.youtube.com/live/ZxFCTdLJi2c?si=NdYi7oisOlSagRLN&t=27110,Jump & Run
SNES,Parodius,10.05.2026,1h09m,NEIN,8,6,8,3,9,"7,75","8,00","7,95",https://www.youtube.com/live/vBF7aB3IgIo?si=tv8QbUncD6pfJBVk&t=14150,Shooter
SNES,Pinocchio,11.05.2026,1h09m,NEIN,6,9,8,2,7,"5,85","7,33","7,06",https://www.youtube.com/live/vBF7aB3IgIo?si=OSJxp5XtskWOBYpn&t=18967,Action
SNES,First Samurai,11.05.2026,1h15m,JA,2,5,5,5,7,"4,63","5,22","5,11",https://www.youtube.com/live/lfBC_dZlemY?si=wCLaAReCy-_gBHuG&t=4258,Action
SNES,"The Magical Quest 
starring Mickey Mouse",12.05.2026,1h15m,NEIN,6,9,8,2,9,"8,33","8,22","8,24",https://www.youtube.com/live/QvttihB6lLU?si=36V29-LA4-gdmfH2&t=2609,Jump & Run
SNES,Power Rangers,12.05.2026,0h55m,NEIN,9,7,8,3,8,"7,18","8,00","7,85",https://www.youtube.com/live/QvttihB6lLU?si=HD_wpKsmZ3dv7ZE4&t=7338,Action
SNES,"Mighty Morphin Power Rangers: 
The Movie",12.05.2026,1h05m,JA,8,8,9,6,8,"7,96","8,11","8,08",https://www.youtube.com/live/QvttihB6lLU?si=th6thJfSDb5OiWF_&t=11756,Action
SNES,Congo's Caper,12.05.2026,1h05m,JA,4,4,8,3,6,"6,00","5,33","5,45",https://www.youtube.com/live/QvttihB6lLU?si=iA2U_Dhtj49CqhFB&t=16176,Action
SNES,Terranigma,13.05.2026,16h32m,NEIN,9,9,10,4,10,"9,01","9,56","9,46",https://youtu.be/F8Z97mMNVmc,RPG
SNES,"The Great Circus Mystery 
starring Mickey & Minnie",15.05.2026,0h53m,NEIN,6,8,8,4,6,"6,42","6,67","6,62",https://www.youtube.com/live/0BexWdJ3qns?si=sHT4zL5UQauPio3r&t=2360,Jump & Run
SNES,"Mickey and Donald's 
Magical Adventure 3",15.05.2026,1h21m,JA,6,9,8,6,7,"6,91","7,33","7,26",https://www.youtube.com/live/0BexWdJ3qns?si=BuJP274R3lXSDY2m&t=6048,Jump & Run
SNES,Aerobiz,24.05.2026,0h18m,JA,4,3,7,5,2,"3,76","3,22","3,32",https://www.youtube.com/live/ovFaf6VcmpQ?si=b9ZZ_R28U7LTcAzm&t=20149,Sonstiges
SNES,Street Fighter II Turbo,25.05.2026,1h17m,NEIN,9,8,10,8,8,"7,82","8,44","8,33",https://www.youtube.com/live/QVe303bdeiU?si=Eq7-N1ia0qnyjeNl&t=13764,Prügelspiel
SNES,Mystic Quest Legend,27.05.2026,10h47m,NEIN,8,6,6,2,7,"7,76","6,89","7,05",https://youtu.be/0w9MaA1kQjM,RPG
SNES,Power Drive,01.06.2026,0h16m,JA,4,5,5,5,6,"4,92","5,22","5,17",https://youtu.be/FCWMa7f8SCY?si=04d5wgaFQhwwcHy5&t=18377,Action
SNES,Sunset Riders,04.06.2026,0h27m,NEIN,7,6,8,8,9,"7,23","7,78","7,68",https://www.youtube.com/live/hDTyBG6CUks?si=S9Ovg3rujKKc0MyZ&t=14708,Action
SNES,Super Mario All-Stars,09.06.2026,14h48m,Nein,7,8,5,2,9,"8,23","7,89","7,95",https://youtu.be/LgN4wp4UV2U,Jump & Run
SNES,F-Zero,22.06.2026,6h29m,NEIN,10,9,10,7,8,"8,13","8,89","8,75",https://www.youtube.com/live/L8TS4EXZZ48?si=xKo-L7xPG9IELcCE&t=7580,Rennspiel
SNES,"Sensible Soccer: 
European Champions",23.06.2026,0h10m,NEIN,4,1,2,5,3,"4,00","2,67","2,91",https://www.youtube.com/live/rOvCUF5Q3uQ?si=A6C8f8ypaMO6JaXO&t=2520,Sport
SNES,WeaponLord,23.06.2026,0h13m,JA,5,6,3,7,3,"2,89","4,11","3,89",https://www.youtube.com/live/rOvCUF5Q3uQ?si=Wmo7qCwHCS_e1yo1&t=3425,Action
SNES,Dragon's Lair,23.06.2026,0h30m,JA,5,4,3,5,4,"4,20","4,11","4,13",https://www.youtube.com/live/rOvCUF5Q3uQ?si=hVcwQvMwN1Xoht8E&t=4478,Action
SNES,Sailormoon,23.06.2026,0h48m,NEIN,5,8,4,5,6,"5,98","6,00","6,00",https://www.youtube.com/live/rOvCUF5Q3uQ?si=aefhiKDVF4YK9p3X&t=7115,Action
SNES,James Pond's Crazy Sports,23.06.2026,0h11m,JA,3,5,4,3,4,"4,32","4,00","4,06",https://www.youtube.com/live/rOvCUF5Q3uQ?si=JSvuoKJj68zpSjGH&t=10898,Action
SNES,Super Battletank 2,23.06.2026,0h19m,JA,3,7,6,6,3,"4,05","4,22","4,19",https://www.youtube.com/live/rOvCUF5Q3uQ?si=LFcuyUEnKByDpnly&t=11802,Action
SNES,HyperZone,23.06.2026,0h25m,JA,4,6,6,6,5,"4,24","5,11","4,95",https://www.youtube.com/live/rOvCUF5Q3uQ?si=ltXDMFBIujo9RBpw&t=13319,Shooter
SNES,Top Gear 3000,07.07.2026,0h18m,JA,4,5,5,5,5,"6,26","4,78","5,05",https://youtu.be/d12UFt7uUW0?si=N3U-r2KJYxxS9wRX&t=3068,Rennspiel
SNES,Dirt Trax FX,12.07.2026,0h11m,JA,3,2,4,3,2,"2,69","2,44","2,49",https://www.youtube.com/live/-FgFOaDr6bQ?si=MwODZcfFMCyei6b2&t=23793,Action
SNES,Timon & Pumbaa's Jungle Games,12.07.2026,0h47m,JA,4,6,5,3,5,"5,52","5,00","5,09",https://www.youtube.com/live/-FgFOaDr6bQ?si=69W4HWrmuU4L3jrV&t=24756,Action
SNES,Chrono Trigger,14.07.2026,21h37m,NEIN,7,10,7,5,6,"8,38","7,22","7,43",,RPG
SNES,Troddlers,19.07.2026,0h14m,JA,3,4,2,8,5,"5,28","4,00","4,23",https://www.youtube.com/live/D3mOQjcuc1A?si=CQtnteLXeXgbWeRO&t=18595,Action
SNES,Jungle Strike,19.07.2026,0h15m,JA,2,4,5,6,2,"3,38","2,78","2,89",https://www.youtube.com/live/D3mOQjcuc1A?si=PD1IlQzDkEmfXSRi&t=19614,Action
SNES,Clay Fighter,21.07.2026,0h34m,NEIN,6,8,2,3,4,"4,64","5,11","5,03",https://www.youtube.com/live/RQU_xkhqGmQ?si=iJHkSR2ETgCr80nF&t=3935,Action
SNES,Donald in Maui Mallard,26.07.2026,1h01m,JA,5,10,3,7,3,"5,63","5,00","5,11",https://www.youtube.com/live/WtX7g3dYTVw?si=p3dMyAndzb9GNc1H&t=10277,Action
SNES,"90 Minutes European 
Prime Goal",,,,,,,,,,,,,Sport
SNES,Aaahh!!! Real Monsters,,,,,,,,,,,,,Action
SNES,ACME Animation Factory,,,,,,,,,,,,,Sonstiges
SNES,ActRaiser,,,,,,,,,,,,,Adventure
SNES,Actraiser 2,,,,,,,,,,,,,Adventure
SNES,Addams Family Values,,,,,,,,,,,,,Jump & Run
SNES,The Addams Family,,,,,,,,,,,,,Jump & Run
SNES,"The Addams Family: 
Pugsley's Scavenger Hunt",,,,,,,,,,,,,Jump & Run
SNES,Adventures of Batman & Robin,,,,,,,,,,,,,Action
SNES,The Adventures of Dr. Franken,,,,,,,,,,,,,Action
SNES,The Adventures of Mighty Max,,,,,,,,,,,,,Action
SNES,"The Adventures of Tintin: 
Prisoners of the Sun",,,,,,,,,,,,,Action
SNES,Aero the Acro-Bat,,,,,,,,,,,,,Jump & Run
SNES,Aero the Acro-Bat 2,,,,,,,,,,,,,Jump & Run
SNES,Aguri Suzuki F-1 Super Driving,,,,,,,,,,,,,Action
SNES,Air Cavalry,,,,,,,,,,,,,Action
SNES,Al Unser Jr.'s Road to the Top,,,,,,,,,,,,,Action
SNES,Alfred Chicken,,,,,,,,,,,,,Jump & Run
SNES,Alien 3,,,,,,,,,,,,,Action
SNES,Alien vs. Predator,,,,,,,,,,,,,Action
SNES,"All-American 
Championship Football",,,,,,,,,,,,,Action
SNES,Amazing Tennis (David Crane's),,,,,,,,,,,,,Sport
SNES,"An American Tail: 
Fievel Goes West",,,,,,,,,,,,,Action
SNES,Animaniacs,,,,,,,,,,,,,Action
SNES,Another World,,,,,,,,,,,,,Action
SNES,Arcade's Greatest Hits,,,,,,,,,,,,,Action
SNES,"Arcade's Greatest Hits: 
The Atari Collection 1",,,,,,,,,,,,,Sonstiges
SNES,Ardy Lightfoot,,,,,,,,,,,,,Action
SNES,Arkanoid,,,,,,,,,,,,,Action
SNES,Art of Fighting,,,,,,,,,,,,,Prügelspiel
SNES,Axelay,,,,,,,,,,,,,Action
SNES,B.O.B.,,,,,,,,,,,,,Action
SNES,Barkley Shut Up and Jam!,,,,,,,,,,,,,Action
SNES,Bass Master Classic Pro Edition,,,,,,,,,,,,,Action
SNES,Batman Forever,,,,,,,,,,,,,Action
SNES,Batman Returns,,,,,,,,,,,,,Prügelspiel
SNES,BattleClash,,,,,,,,,,,,,Action
SNES,Battletoads & Double Dragon,,,,,,,,,,,,,Prügelspiel
SNES,Battletoads in Battlemaniacs,,,,,,,,,,,,,Prügelspiel
SNES,Beauty and the Beast,,,,,,,,,,,,,Action
SNES,Beavis and Butt-Head,,,,,,,,,,,,,Action
SNES,"Beethoven: 
The Ultimate Canine Caper",,,,,,,,,,,,,RPG
SNES,"Best of the Best 
Championship Karate",,,,,,,,,,,,,Prügelspiel
SNES,Big Sky Trooper,,,,,,,,,,,,,Action
SNES,BioMetal,,,,,,,,,,,,,Action
SNES,"BlackHawk
(US: Blackthorne)",,,,,,,,,,,,,Action
SNES,Blazing Skies,,,,,,,,,,,,,Sport
SNES,The Blues Brothers,,,,,,,,,,,,,Jump & Run
SNES,Boogerman,,,,,,,,,,,,,Action
SNES,Boxing Legends of the Ring,,,,,,,,,,,,,Sport
SNES,The Brainies,,,,,,,,,,,,,Action
SNES,"Brawl Brothers
(JP: Rushing Beat Ran: Fukusei Toshi)",,,,,,,,,,,,,Action
SNES,Breath of Fire II,,,,,,,,,,,,,RPG
SNES,Brett Hull Hockey,,,,,,,,,,,,,Sport
SNES,Brutal: Paws of Fury,,,,,,,,,,,,,Action
SNES,Bubsy II,,,,,,,,,,,,,Jump & Run
SNES,"Bubsy in: Claws Encounters 
of the Furred Kind",,,,,,,,,,,,,Jump & Run
SNES,Bugs Bunny: Rabbit Rampage,,,,,,,,,,,,,Jump & Run
SNES,"Bulls vs. Blazers and 
the NBA Playoffs",,,,,,,,,,,,,Action
SNES,Cal Ripken Jr. Baseball,,,,,,,,,,,,,Sport
SNES,California Games II,,,,,,,,,,,,,Action
SNES,Cannon Fodder,,,,,,,,,,,,,Action
SNES,"Captain America 
and the Avengers",,,,,,,,,,,,,Prügelspiel
SNES,Captain Commando,,,,,,,,,,,,,Action
SNES,Carrier Aces,,,,,,,,,,,,,Action
SNES,Casper,,,,,,,,,,,,,Action
SNES,"Castlevania: Vampire's Kiss
(US: Castlevania: Dracula X)",,,,,,,,,,,,,Action
SNES,Champions World Class Soccer,,,,,,,,,,,,,Sport
SNES,Champions World Class Soccer: PSG,,,,,,,,,,,,,Sport
SNES,Championship Pool,,,,,,,,,,,,,Sport
SNES,The Chaos Engine,,,,,,,,,,,,,Action
SNES,The Chessmaster,,,,,,,,,,,,,Sonstiges
SNES,Choplifter III,,,,,,,,,,,,,Action
SNES,Chuck Rock,,,,,,,,,,,,,Action
SNES,Clay Fighter 2: C2: Judgment Clay,,,,,,,,,,,,,Action
SNES,Claymates,,,,,,,,,,,,,Action
SNES,Cliffhanger,,,,,,,,,,,,,Action
SNES,Cool Spot,,,,,,,,,,,,,Jump & Run
SNES,Cutthroat Island,,,,,,,,,,,,,Action
SNES,Cybernator,,,,,,,,,,,,,Action
SNES,Daffy Duck: The Marvin Missions,,,,,,,,,,,,,Action
SNES,Darius Twin,,,,,,,,,,,,,Shooter
SNES,Daze before Christmas,,,,,,,,,,,,,Action
SNES,Death and Return of Superman,,,,,,,,,,,,,Action
SNES,Demolition Man,,,,,,,,,,,,,Action
SNES,Demon's Crest,,,,,,,,,,,,,Action
SNES,Dennis,,,,,,,,,,,,,Action
SNES,"Desert Fighter
(US: A.S.P.: Air Strike Patrol)",,,,,,,,,,,,,Action
SNES,Desert Strike: Return to the Gulf,,,,,,,,,,,,,Action
SNES,Dino City,,,,,,,,,,,,,Action
SNES,Dino Dini's Soccer,,,,,,,,,,,,,Sport
SNES,Dirt Racer,,,,,,,,,,,,,Rennspiel
SNES,Donkey Kong Country,,,,,,,,,,,,,Jump & Run
SNES,"Donkey Kong Country 2 
Diddy's Kong Quest",,,,,,,,,,,,,Jump & Run
SNES,"Donkey Kong Country 3 
Dixie Kong's Double Trouble!",,,,,,,,,,,,,Jump & Run
SNES,Doom,,,,,,,,,,,,,Shooter
SNES,Double Dragon V: The Shadow Falls,,,,,,,,,,,,,Prügelspiel
SNES,"Dracula, Bram Stoker's",,,,,,,,,,,,,Action
SNES,Dragon Ball Z: Hyper Dimension,,,,,,,,,,,,,Action
SNES,Dragon Ball Z: La Legende SAIEN,,,,,,,,,,,,,Action
SNES,Dragon Ball Z: Super Butouden,,,,,,,,,,,,,Action
SNES,Dragon Ball Z: Ultime Menace,,,,,,,,,,,,,Action
SNES,Dragon: The Bruce Lee Story,,,,,,,,,,,,,Action
SNES,Drakkhen,,,,,,,,,,,,,Action
SNES,Dungeon Master,,,,,,,,,,,,,Action
SNES,Earth Defense Force,,,,,,,,,,,,,Action
SNES,Earthworm Jim,,,,,,,,,,,,,Jump & Run
SNES,Earthworm Jim 2,,,,,,,,,,,,,Jump & Run
SNES,Eek! The Cat,,,,,,,,,,,,,Action
SNES,Equinox,,,,,,,,,,,,,Action
SNES,"Eric Cantona Football Challenge
(US: World Soccer '94: Road to Glory)",,,,,,,,,,,,,Sport
SNES,ESPN Baseball Tonight,,,,,,,,,,,,,Sport
SNES,"Exhaust Heat
(US: F1 ROC: Race of Champions)",,,,,,,,,,,,,Action
SNES,F1 Pole Position,,,,,,,,,,,,,Action
SNES,F1 Pole Position 2,,,,,,,,,,,,,Action
SNES,F1 World Championship Edition,,,,,,,,,,,,,Action
SNES,Family Dog,,,,,,,,,,,,,Action
SNES,Fatal Fury,,,,,,,,,,,,,Prügelspiel
SNES,Fatal Fury 2,,,,,,,,,,,,,Prügelspiel
SNES,Fatal Fury Special,,,,,,,,,,,,,Prügelspiel
SNES,Fever Pitch Soccer,,,,,,,,,,,,,Sport
SNES,FIFA '97,,,,,,,,,,,,,Sport
SNES,FIFA International Soccer,,,,,,,,,,,,,Sport
SNES,FIFA Road to World Cup '98,,,,,,,,,,,,,Sport
SNES,FIFA Soccer '96,,,,,,,,,,,,,Sport
SNES,Final Fight,,,,,,,,,,,,,Prügelspiel
SNES,Final Fight 2,,,,,,,,,,,,,Prügelspiel
SNES,Final Fight 3,,,,,,,,,,,,,Prügelspiel
SNES,The Firemen,,,,,,,,,,,,,Action
SNES,Flashback,,,,,,,,,,,,,Jump & Run
SNES,The Flintstones,,,,,,,,,,,,,Jump & Run
SNES,"The Flintstones: 
The Treasure of Sierra Madrock",,,,,,,,,,,,,Jump & Run
SNES,Foreman for Real Boxing,,,,,,,,,,,,,Sport
SNES,Frank Thomas Big Hurt Baseball,,,,,,,,,,,,,Sport
SNES,Frantic Flea,,,,,,,,,,,,,Action
SNES,Full Throttle: All-American Racing,,,,,,,,,,,,,Rennspiel
SNES,"Fun 'n Games: 
Paint Games Music Style",,,,,,,,,,,,,Sonstiges
SNES,George Foreman's KO Boxing,,,,,,,,,,,,,Sport
SNES,Ghoul Patrol,,,,,,,,,,,,,Action
SNES,Gods,,,,,,,,,,,,,Action
SNES,Goof Troop,,,,,,,,,,,,,Action
SNES,GP-1,,,,,,,,,,,,,Action
SNES,Hagane: The Final Conflict,,,,,,,,,,,,,Action
SNES,Harley's Humongous Adventures,,,,,,,,,,,,,Action
SNES,Harvest Moon,,,,,,,,,,,,,Strategie
SNES,Hebereke's Popoitto,,,,,,,,,,,,,Action
SNES,Hebereke's Popoon,,,,,,,,,,,,,Action
SNES,Hole In One Golf,,,,,,,,,,,,,Sport
SNES,Home Alone,,,,,,,,,,,,,Jump & Run
SNES,Home Alone 2: Lost in New York,,,,,,,,,,,,,Jump & Run
SNES,Hook,,,,,,,,,,,,,Jump & Run
SNES,Humans,,,,,,,,,,,,,Action
SNES,Hungry Dinosaurs,,,,,,,,,,,,,Action
SNES,The Hunt for Red October,,,,,,,,,,,,,Action
SNES,Hurricanes,,,,,,,,,,,,,Action
SNES,Hyper V-Ball,,,,,,,,,,,,,Sport
SNES,"Illusion of Time
(US: Illusion of Gaia)",,,,,,,,,,,,,Action
SNES,Incantation,,,,,,,,,,,,,Action
SNES,The Incredible Crash Dummies,,,,,,,,,,,,,Action
SNES,"Incredible Hulk, The",,,,,,,,,,,,,Action
SNES,Indiana Jones' Greatest Adventures,,,,,,,,,,,,,Action
SNES,"International Sensible Soccer: 
World Champions Limited Edition",,,,,,,,,,,,,Sport
SNES,International Superstar Soccer,,,,,,,,,,,,,Sport
SNES,"International Superstar 
Soccer Deluxe",,,,,,,,,,,,,Sport
SNES,International Tennis Tour,,,,,,,,,,,,,Sport
SNES,"Itchy & Scratchy Game, The",,,,,,,,,,,,,Action
SNES,Izzy's Quest for the Olympic Rings,,,,,,,,,,,,,Sport
SNES,Jack Nicklaus Golf,,,,,,,,,,,,,Sport
SNES,James Bond Jr.,,,,,,,,,,,,,Action
SNES,Jelly Boy,,,,,,,,,,,,,Action
SNES,Jimmy Connors Pro Tennis Tour,,,,,,,,,,,,,Sport
SNES,"Joe & Mac 3
(US: Joe & Mac 2: Lost in the Tropics)",,,,,,,,,,,,,Jump & Run
SNES,Joe & Mac: Caveman Ninja,,,,,,,,,,,,,Jump & Run
SNES,John Madden Football '93,,,,,,,,,,,,,Sport
SNES,Judge Dredd,,,,,,,,,,,,,Action
SNES,The (Disney's) Jungle Book,,,,,,,,,,,,,Jump & Run
